seq_id,datetime,AHU,CHW_VALVE,CHW_VALVE_POSIT,DIS_AIR_TEMP,DUCT_PRESS_ACTV,MAX_CO2_VAL,MIXED_AIR_TEMP,RTRN_AIR_TEMP,SUPPL_FAN_SP
1137,07NOV14:15:34:00,AHU_5_1,56.535,33.1795,62.009,0.5379,823.8491,68.7597,72.162,20.76
1138,07NOV14:15:39:00,AHU_5_1,54.54,56.4078,59.0927,0.542,810.4215,68.6697,72.162,20.76
1139,07NOV14:15:44:00,AHU_5_1,41.515,55.1921,57.2745,0.546,796.9938,68.6697,72.162,20.21
1140,07NOV14:15:49:00,AHU_5_1,57.235,44.8588,60.7309,0.542,819.5767,68.5797,72.162,20.21
1141,07NOV14:15:54:00,AHU_5_1,30.105,56.7986,56.1044,0.55,813.4733,67.8596,72.072,19.15
1142,07NOV14:15:59:00,AHU_5_1,32.14,36.6529,59.4528,0.554,888.5461,68.2196,71.964,18.28
1143,07NOV14:16:04:00,AHU_5_1,49.51,29.7929,59.9208,0.546,818.9664,68.3996,71.964,18.28
1144,07NOV14:16:09:00,AHU_5_1,57.98,51.8056,59.8308,0.542,832.394,68.5797,71.874,18.28
1145,07NOV14:16:14:00,AHU_5_1,28.345,57.884,57.0945,0.562,843.9907,67.9496,71.874,15.755
1146,07NOV14:16:19:00,AHU_5_1,24.775,27.622,59.6508,0.546,830.563,67.5716,71.964,15.08
1147,07NOV14:16:24:00,AHU_5_1,37.38,25.3643,62.6571,0.546,820.7974,67.8596,71.964,15.08
1148,07NOV14:16:29:00,AHU_5_1,33.12,38.3461,61.829,0.542,812.2526,68.0396,71.964,14.88
1149,07NOV14:16:34:00,AHU_5_1,29.12,33.657,61.829,0.4858,810.4215,67.8596,72.072,14.88
1150,07NOV14:16:39:00,AHU_5_1,22.26,30.3573,61.739,0.4858,804.9283,67.3915,71.964,14.88
1151,07NOV14:16:44:00,AHU_5_1,35.795,23.1066,62.8371,0.542,806.7594,67.7516,71.964,14.88
1152,07NOV14:16:49:00,AHU_5_1,25.43,35.524,61.0009,0.542,786.6178,68.0396,71.964,14.63
1153,07NOV14:16:54:00,AHU_5_1,39.985,25.1472,63.1971,0.542,804.9283,67.6616,72.162,14.63
1154,07NOV14:16:59:00,AHU_5_1,28.225,39.6921,61.2889,0.546,791.5006,68.0396,72.072,14.43
1155,07NOV14:17:04:00,AHU_5_1,31.97,27.5786,62.099,0.5379,808.5905,67.5716,72.162,14.23
1156,07NOV14:17:09:00,AHU_5_1,35.755,33.961,62.279,0.546,807.9801,67.3015,72.072,14.23
1157,07NOV14:17:14:00,AHU_5_1,27.805,35.6108,61.4689,0.546,770.7488,67.5716,72.072,14.23
1158,07NOV14:17:19:00,AHU_5_1,27.805,29.1416,61.919,0.5379,762.8142,67.8596,72.072,14.23
1159,07NOV14:17:24:00,AHU_5_1,27.805,29.0982,61.739,0.542,756.7107,67.4815,72.072,14.23
1160,07NOV14:17:29:00,AHU_5_1,27.805,29.0548,62.279,0.546,724.9724,67.5716,72.072,13.97
1161,07NOV14:17:34:00,AHU_5_1,3.08,29.1416,62.099,0.542,759.7624,67.9496,72.072,13.22
1162,07NOV14:17:39:00,AHU_5_1,19.565,3.4819,65.8434,0.542,748.7761,67.8596,72.072,12.97
1163,07NOV14:17:44:00,AHU_5_1,49.145,22.8027,65.8434,0.542,706.0515,67.5716,71.964,12.97
1164,07NOV14:17:49:00,AHU_5_1,0,47.073,59.3627,0.542,696.2859,67.8596,72.072,12.57
1165,07NOV14:17:54:00,AHU_5_1,6.66,2.2228,64.8353,0.5379,687.1306,68.0396,72.072,12.57
1166,07NOV14:17:59:00,AHU_5_1,32.775,10.4721,66.8515,0.5379,698.1169,68.2196,72.072,12.57
1167,07NOV14:18:04:00,AHU_5_1,17.25,32.2677,63.7372,0.542,680.4169,68.3096,72.072,12.37
1168,07NOV14:18:09:00,AHU_5_1,31.74,17.6794,66.3834,0.546,670.0409,68.3996,72.072,12.37
