datetime,AHU,CHW_VALVE,CHW_VALVE_POSIT,DIS_AIR_TEMP,DUCT_PRESS_ACTV,MAX_CO2_VAL,MIXED_AIR_TEMP,RTRN_AIR_TEMP,SUPPL_FAN_SP
07Nov2014 11:14:00,AHU_5_1,24.93,26.8839,60.3708,0.4536,1033.199,69.6778,72.6121,7.905
07Nov2014 11:19:00,AHU_5_1,34.175,30.4007,63.2871,0.4577,1063.106,69.1377,72.6121,8.165
07Nov2014 11:24:00,AHU_5_1,28.405,32.7019,60.9109,0.4496,1066.158,69.0477,72.6121,8.165
07Nov2014 11:29:00,AHU_5_1,35.735,34.6556,62.5491,0.4496,1223.628,69.2277,72.7021,8.375
07Nov2014 11:34:00,AHU_5_1,29.255,30.4007,61.3789,0.4536,1082.027,69.4978,72.7021,8.795
07Nov2014 11:39:00,AHU_5_1,40.29,39.1277,63.1071,0.4536,1074.093,69.1377,72.7021,9.475
07Nov2014 11:44:00,AHU_5_1,27.01,28.2299,60.6409,0.4536,1104.61,69.0477,72.7921,10.205
07Nov2014 11:49:00,AHU_5_1,40.15,40.2565,63.2871,0.7467,1171.138,68.9577,72.7921,10.415
07Nov2014 11:54:00,AHU_5_1,40.15,40.2565,61.649,0.6262,1149.776,69.1377,72.6121,13.325
07Nov2014 11:59:00,AHU_5_1,31.97,29.2719,61.649,0.5098,1743.647,69.4978,72.6121,20.76
07Nov2014 12:04:00,AHU_5_1,12.255,16.9413,62.009,0.55,1099.117,69.0477,72.432,19.33
07Nov2014 12:09:00,AHU_5_1,32.835,33.5702,67.0315,0.8631,1025.875,69.3177,72.432,21.39
07Nov2014 12:14:00,AHU_5_1,26.655,26.7102,64.2052,0.7266,965.4503,69.4978,72.432,22.295
07Nov2014 12:19:00,AHU_5_1,38.54,38.3895,66.2034,0.9554,930.0501,69.4077,72.432,26.035
07Nov2014 12:24:00,AHU_5_1,24.035,25.6248,63.2871,1.108,923.3362,68.9577,72.432,23.76
07Nov2014 12:29:00,AHU_5_1,39.07,39.6921,66.3834,0.7306,903.8049,69.5878,72.432,37.63
07Nov2014 12:34:00,AHU_5_1,28.935,29.2719,64.0072,0.847,892.2083,69.2277,72.432,27.695
07Nov2014 12:39:00,AHU_5_1,38.05,37.2173,65.5734,1.2244,873.2873,69.4978,72.432,47.79
07Nov2014 12:44:00,AHU_5_1,21.95,22.4987,64.0072,0.9032,875.7288,69.6778,72.342,42.635
07Nov2014 12:49:00,AHU_5_1,37.245,38.129,66.2034,0.9474,858.6392,69.3177,72.252,42.815
07Nov2014 12:54:00,AHU_5_1,33.105,33.2229,64.8353,0.9233,843.9907,69.8578,72.342,33
07Nov2014 12:59:00,AHU_5_1,39.52,41.7761,65.6634,1.3408,847.6528,69.7678,72.252,30.655
07Nov2014 13:04:00,AHU_5_1,27.98,26.58,64.2952,0.847,836.6665,69.1377,72.342,47.575
07Nov2014 13:09:00,AHU_5_1,32.255,36.0884,65.1053,1.0397,833.6147,69.4978,72.342,25.11
07Nov2014 13:14:00,AHU_5_1,24.825,36.0884,64.7453,0.7025,829.9526,69.4978,72.342,27.22
07Nov2014 13:19:00,AHU_5_1,33.575,23.5842,66.0234,0.7306,817.1354,69.4077,72.432,27.805
07Nov2014 13:24:00,AHU_5_1,37.835,32.9189,65.6634,0.7708,812.2526,69.7678,72.342,27.87
07Nov2014 13:29:00,AHU_5_1,20.625,37.2607,63.4671,0.7708,812.2526,68.9577,72.432,27.83
07Nov2014 13:34:00,AHU_5_1,36.05,19.7634,66.6715,0.7346,812.2526,69.5878,72.432,45.73
07Nov2014 13:39:00,AHU_5_1,28.205,33.7005,64.3852,0.6303,872.0666,69.4978,72.432,23.9
07Nov2014 13:44:00,AHU_5_1,30.45,30.8783,65.6634,0.6544,978.2677,69.3177,72.432,28.015
07Nov2014 13:49:00,AHU_5_1,35.145,26.9707,65.5734,0.6463,965.4503,69.5878,72.432,28.795
07Nov2014 13:54:00,AHU_5_1,31.57,34.6556,65.1053,0.7708,1001.461,69.7678,72.432,30.135
07Nov2014 13:59:00,AHU_5_1,31.295,32.0072,64.4753,0.7788,986.2023,69.3177,72.5221,47.095
07Nov2014 14:04:00,AHU_5_1,25.31,32.6584,64.7453,0.6262,932.4915,69.4978,72.432,25.94
07Nov2014 14:09:00,AHU_5_1,31.35,24.7565,65.2853,0.558,927.6086,69.4077,72.5221,23.22
07Nov2014 14:14:00,AHU_5_1,32.945,32.5716,64.8353,0.5259,972.7745,69.4077,72.5221,23.22
07Nov2014 14:19:00,AHU_5_1,29.96,32.3979,64.6553,0.5339,900.7532,69.4978,72.5221,23.22
07Nov2014 14:24:00,AHU_5_1,23.945,31.3993,64.4753,0.5299,891.5979,68.8497,72.6121,23.22
07Nov2014 14:29:00,AHU_5_1,32.63,24.7999,65.7534,0.5259,828.1216,69.5878,72.6121,23.22
07Nov2014 14:34:00,AHU_5_1,26.215,31.9203,64.4753,0.5299,803.0973,69.3177,72.6121,23.22
07Nov2014 14:39:00,AHU_5_1,57.15,26.8405,65.2853,0.5219,876.9495,69.4077,72.6121,23.22
07Nov2014 14:44:00,AHU_5_1,37.965,58.3182,61.1989,0.5259,970.3331,69.3177,72.7021,23.22
07Nov2014 14:49:00,AHU_5_1,42.88,38.129,62.009,0.5299,975.8263,69.4077,72.7021,23.22
07Nov2014 14:54:00,AHU_5_1,53.295,43.4694,61.829,0.5339,1024.654,69.1377,72.7021,23.22
07Nov2014 14:59:00,AHU_5_1,67.545,53.1515,59.8308,0.55,1205.318,69.3177,72.6121,22.41
07Nov2014 15:04:00,AHU_5_1,26.975,67.5227,55.3663,0.546,995.9679,68.8497,72.5221,21.56
07Nov2014 15:09:00,AHU_5_1,53.375,28.664,61.0009,0.542,891.5979,68.6697,72.432,21.56
07Nov2014 15:14:00,AHU_5_1,29.985,54.6711,58.0126,0.546,866.5735,69.2277,72.342,21.16
07Nov2014 15:19:00,AHU_5_1,31.265,29.185,59.9208,0.5379,824.4595,68.3096,72.252,20.96
07Nov2014 15:24:00,AHU_5_1,44.46,31.8769,63.1071,0.546,826.9009,69.1377,72.252,20.76
07Nov2014 15:29:00,AHU_5_1,32.475,44.3812,61.0009,0.542,828.7319,68.3096,72.252,20.76
07Nov2014 15:34:00,AHU_5_1,56.535,33.1795,62.009,0.5379,823.8491,68.7597,72.162,20.76
07Nov2014 15:39:00,AHU_5_1,54.54,56.4078,59.0927,0.542,810.4215,68.6697,72.162,20.76
07Nov2014 15:44:00,AHU_5_1,41.515,55.1921,57.2745,0.546,796.9938,68.6697,72.162,20.21
07Nov2014 15:49:00,AHU_5_1,57.235,44.8588,60.7309,0.542,819.5767,68.5797,72.162,20.21
07Nov2014 15:54:00,AHU_5_1,30.105,56.7986,56.1044,0.55,813.4733,67.8596,72.072,19.15
07Nov2014 15:59:00,AHU_5_1,32.14,36.6529,59.4528,0.554,888.5461,68.2196,71.964,18.28
07Nov2014 16:04:00,AHU_5_1,49.51,29.7929,59.9208,0.546,818.9664,68.3996,71.964,18.28
07Nov2014 16:09:00,AHU_5_1,57.98,51.8056,59.8308,0.542,832.394,68.5797,71.874,18.28
07Nov2014 16:14:00,AHU_5_1,28.345,57.884,57.0945,0.562,843.9907,67.9496,71.874,15.755
07Nov2014 16:19:00,AHU_5_1,24.775,27.622,59.6508,0.546,830.563,67.5716,71.964,15.08
07Nov2014 16:24:00,AHU_5_1,37.38,25.3643,62.6571,0.546,820.7974,67.8596,71.964,15.08
07Nov2014 16:29:00,AHU_5_1,33.12,38.3461,61.829,0.542,812.2526,68.0396,71.964,14.88
07Nov2014 16:34:00,AHU_5_1,29.12,33.657,61.829,0.4858,810.4215,67.8596,72.072,14.88
07Nov2014 16:39:00,AHU_5_1,22.26,30.3573,61.739,0.4858,804.9283,67.3915,71.964,14.88
07Nov2014 16:44:00,AHU_5_1,35.795,23.1066,62.8371,0.542,806.7594,67.7516,71.964,14.88
07Nov2014 16:49:00,AHU_5_1,25.43,35.524,61.0009,0.542,786.6178,68.0396,71.964,14.63
07Nov2014 16:54:00,AHU_5_1,39.985,25.1472,63.1971,0.542,804.9283,67.6616,72.162,14.63
07Nov2014 16:59:00,AHU_5_1,28.225,39.6921,61.2889,0.546,791.5006,68.0396,72.072,14.43
07Nov2014 17:04:00,AHU_5_1,31.97,27.5786,62.099,0.5379,808.5905,67.5716,72.162,14.23
07Nov2014 17:09:00,AHU_5_1,35.755,33.961,62.279,0.546,807.9801,67.3015,72.072,14.23
07Nov2014 17:14:00,AHU_5_1,27.805,35.6108,61.4689,0.546,770.7488,67.5716,72.072,14.23
07Nov2014 17:19:00,AHU_5_1,27.805,29.1416,61.919,0.5379,762.8142,67.8596,72.072,14.23
07Nov2014 17:24:00,AHU_5_1,27.805,29.0982,61.739,0.542,756.7107,67.4815,72.072,14.23
07Nov2014 17:29:00,AHU_5_1,27.805,29.0548,62.279,0.546,724.9724,67.5716,72.072,13.97
07Nov2014 17:34:00,AHU_5_1,3.08,29.1416,62.099,0.542,759.7624,67.9496,72.072,13.22
07Nov2014 17:39:00,AHU_5_1,19.565,3.4819,65.8434,0.542,748.7761,67.8596,72.072,12.97
07Nov2014 17:44:00,AHU_5_1,49.145,22.8027,65.8434,0.542,706.0515,67.5716,71.964,12.97
07Nov2014 17:49:00,AHU_5_1,0,47.073,59.3627,0.542,696.2859,67.8596,72.072,12.57
07Nov2014 17:54:00,AHU_5_1,6.66,2.2228,64.8353,0.5379,687.1306,68.0396,72.072,12.57
07Nov2014 17:59:00,AHU_5_1,32.775,10.4721,66.8515,0.5379,698.1169,68.2196,72.072,12.57
07Nov2014 18:04:00,AHU_5_1,17.25,32.2677,63.7372,0.542,680.4169,68.3096,72.072,12.37
07Nov2014 18:09:00,AHU_5_1,31.74,17.6794,66.3834,0.546,670.0409,68.3996,72.072,12.37
07Nov2014 18:14:00,AHU_5_1,19.1,30.9652,64.0072,0.546,653.5614,68.3996,71.964,12.17
07Nov2014 18:19:00,AHU_5_1,27.345,19.6766,65.7534,0.542,669.4305,68.2196,71.964,12.17
07Nov2014 18:24:00,AHU_5_1,22.175,27.9693,64.6553,0.546,690.1824,67.7516,71.964,11.97
07Nov2014 18:29:00,AHU_5_1,0,18.7214,64.9253,0,682.8582,67.6616,71.874,0
07Nov2014 18:34:00,AHU_5_1,0,2.2662,66.3834,0,711.5447,67.4815,71.1539,0
07Nov2014 18:39:00,AHU_5_1,0,2.2662,66.2934,0,721.3103,67.3915,70.7759,0
07Nov2014 18:44:00,AHU_5_1,0,2.2662,66.1134,0,714.5964,67.4815,70.8659,0
07Nov2014 18:49:00,AHU_5_1,0,2.2228,66.0234,0,713.9861,67.4815,70.9559,0
07Nov2014 18:54:00,AHU_5_1,0,2.2662,66.1134,0,722.531,67.5716,70.9559,0
07Nov2014 18:59:00,AHU_5_1,0,2.2228,66.2034,0,716.4275,67.4815,71.1539,0
07Nov2014 19:04:00,AHU_5_1,0,2.2662,66.3834,0,715.8171,67.5716,71.1539,0
07Nov2014 19:09:00,AHU_5_1,0,2.2228,66.5635,0,772.5798,67.5716,71.1539,0
07Nov2014 19:14:00,AHU_5_1,0,2.2228,66.7615,0,713.3757,67.6616,71.2439,0
07Nov2014 19:19:00,AHU_5_1,0,2.2662,66.8515,0,760.3728,67.5716,71.2439,0
07Nov2014 19:24:00,AHU_5_1,0,2.3096,67.0315,0,732.907,67.6616,71.2439,0
07Nov2014 19:29:00,AHU_5_1,0,2.2228,67.2115,0,708.4929,67.7516,71.2439,0
07Nov2014 19:34:00,AHU_5_1,0,2.3096,67.3915,0,715.8171,67.7516,71.3339,0
07Nov2014 19:39:00,AHU_5_1,0,2.2662,67.6616,0,731.6863,67.8596,71.3339,0
07Nov2014 19:44:00,AHU_5_1,0,2.2662,67.7516,0,701.779,67.8596,71.3339,0
07Nov2014 19:49:00,AHU_5_1,0,2.2228,67.9496,0,701.1687,67.9496,71.5139,0
07Nov2014 19:54:00,AHU_5_1,0,2.2662,68.1296,0,713.9861,67.9496,71.4239,0
07Nov2014 19:59:00,AHU_5_1,0,2.2228,68.3096,0,696.2859,68.0396,71.5139,0
07Nov2014 20:04:00,AHU_5_1,0,2.2228,68.3996,0,702.3894,68.1296,71.5139,0
07Nov2014 20:09:00,AHU_5_1,0,2.2228,68.4896,0,694.4548,68.1296,71.5139,0
07Nov2014 20:14:00,AHU_5_1,0,2.2228,68.6697,0,732.2966,68.1296,71.604,0
07Nov2014 20:19:00,AHU_5_1,0,2.2662,68.8497,0,705.4412,68.3096,71.604,0
07Nov2014 20:24:00,AHU_5_1,0,2.3096,68.9577,0,692.0134,68.3096,71.604,0
07Nov2014 20:29:00,AHU_5_1,0,2.2228,69.1377,0,704.8308,68.3996,71.694,0
07Nov2014 20:34:00,AHU_5_1,0,2.2228,69.1377,0,692.6238,68.4896,71.694,0
07Nov2014 20:39:00,AHU_5_1,0,2.2662,69.4077,0,693.8445,68.5797,71.784,0
07Nov2014 20:44:00,AHU_5_1,0,2.2662,69.4077,0,690.7927,68.6697,71.784,0
07Nov2014 20:49:00,AHU_5_1,0,2.2228,69.6778,0,695.0652,68.6697,71.694,0
07Nov2014 20:54:00,AHU_5_1,0,2.2228,69.6778,0,693.2341,68.7597,71.784,0
07Nov2014 20:59:00,AHU_5_1,0,2.2662,69.7678,0,688.3513,68.7597,71.874,0
07Nov2014 21:04:00,AHU_5_1,0,2.3096,69.9478,0,711.5447,68.9577,71.784,0
07Nov2014 21:09:00,AHU_5_1,0,2.2662,70.0558,0,697.5066,69.0477,71.874,0
07Nov2014 21:14:00,AHU_5_1,0,2.2662,70.1458,0,682.2478,69.0477,71.964,0
07Nov2014 21:19:00,AHU_5_1,0,2.2228,70.2358,0,691.4031,69.1377,71.964,0
07Nov2014 21:24:00,AHU_5_1,0,2.2228,70.5058,0,695.6755,69.3177,71.874,0
07Nov2014 21:29:00,AHU_5_1,0,2.2662,70.4159,0,685.9099,69.3177,71.964,0
07Nov2014 21:34:00,AHU_5_1,0,2.2662,70.5959,0,721.9207,69.4077,71.964,0
07Nov2014 21:39:00,AHU_5_1,0,2.2228,70.6859,0,686.5203,69.4978,71.964,0
07Nov2014 21:44:00,AHU_5_1,0,2.2228,70.6859,0,691.4031,69.5878,72.072,0
07Nov2014 21:49:00,AHU_5_1,0,2.2228,70.8659,0,688.3513,69.5878,71.964,0
07Nov2014 21:54:00,AHU_5_1,0,2.2662,70.8659,0,676.7548,69.7678,72.072,0
07Nov2014 21:59:00,AHU_5_1,0,2.2228,71.0639,0,690.7927,69.7678,72.162,0
07Nov2014 22:04:00,AHU_5_1,0,2.2662,71.0639,0,706.6619,69.8578,72.072,0
07Nov2014 22:09:00,AHU_5_1,0,2.2228,71.2439,0,685.2996,69.9478,72.072,0
07Nov2014 22:14:00,AHU_5_1,0,2.2662,71.2439,0,684.6892,69.9478,72.072,0
07Nov2014 22:19:00,AHU_5_1,0,2.3096,71.3339,0,684.0789,70.0558,72.162,0
07Nov2014 22:24:00,AHU_5_1,0,2.2662,71.4239,0,712.7654,70.2358,72.162,0
07Nov2014 22:29:00,AHU_5_1,0,2.2228,71.4239,0,688.9617,70.3258,72.162,0
07Nov2014 22:34:00,AHU_5_1,0,2.2662,71.604,0,686.5203,70.3258,72.162,0
07Nov2014 22:39:00,AHU_5_1,0,2.2228,71.604,0,684.6892,70.4159,72.162,0
07Nov2014 22:44:00,AHU_5_1,0,2.2662,71.604,0,676.1444,70.5058,72.162,0
07Nov2014 22:49:00,AHU_5_1,0,2.2228,71.694,0,692.6238,70.4159,72.162,0
07Nov2014 22:54:00,AHU_5_1,0,2.3096,71.784,0,685.2996,70.5959,72.162,0
07Nov2014 22:59:00,AHU_5_1,0,2.2228,71.874,0,666.9891,70.6859,72.162,0
07Nov2014 23:04:00,AHU_5_1,0,2.2228,71.964,0,681.6374,70.7759,72.162,0
07Nov2014 23:09:00,AHU_5_1,0,2.2228,71.964,0,680.4169,70.7759,72.252,0
07Nov2014 23:14:00,AHU_5_1,0,2.2228,72.072,0,684.0789,70.7759,72.162,0
07Nov2014 23:19:00,AHU_5_1,0,2.2228,72.162,0,676.1444,70.9559,72.162,0
07Nov2014 23:24:00,AHU_5_1,0,2.353,72.162,0,679.1962,71.0639,72.252,0
07Nov2014 23:29:00,AHU_5_1,0,2.2228,72.252,0,679.1962,71.1539,72.252,0
07Nov2014 23:34:00,AHU_5_1,0,2.2228,72.252,0,660.8856,71.1539,72.252,0
07Nov2014 23:39:00,AHU_5_1,0,2.2228,72.342,0,676.7548,71.2439,72.252,0
07Nov2014 23:44:00,AHU_5_1,0,2.2662,72.342,0,674.9237,71.3339,72.252,0
07Nov2014 23:49:00,AHU_5_1,0,2.2662,72.432,0,669.4305,71.4239,72.252,0
07Nov2014 23:54:00,AHU_5_1,0,2.2662,72.5221,0,677.3651,71.4239,72.252,0
07Nov2014 23:59:00,AHU_5_1,0,2.2662,72.6121,0,668.2098,71.5139,72.252,0
08Nov2014 0:04:00,AHU_5_1,0,2.2228,72.6121,0,656.6132,71.604,72.252,0
08Nov2014 0:09:00,AHU_5_1,0,2.3096,72.6121,0,657.8339,71.604,72.252,0
08Nov2014 0:14:00,AHU_5_1,0,2.2228,72.7021,0,661.496,71.784,72.252,0
08Nov2014 0:19:00,AHU_5_1,0,2.2662,72.7921,0,662.1063,71.784,72.252,0
08Nov2014 0:24:00,AHU_5_1,0,2.2228,72.7021,0,657.2235,71.874,72.342,0
08Nov2014 0:29:00,AHU_5_1,0,2.2662,72.7921,0,645.6268,71.964,72.252,0
08Nov2014 0:34:00,AHU_5_1,0,2.3096,72.7921,0,654.7821,71.964,72.252,0
08Nov2014 0:39:00,AHU_5_1,0,2.2228,72.8821,0,661.496,72.072,72.342,0
08Nov2014 0:44:00,AHU_5_1,0,2.2662,72.9721,0,659.0546,72.072,72.252,0
08Nov2014 0:49:00,AHU_5_1,0,2.2662,72.9721,0,665.7684,72.252,72.342,0
08Nov2014 0:54:00,AHU_5_1,0,2.2228,72.9721,0,651.7304,72.252,72.342,0
08Nov2014 0:59:00,AHU_5_1,0,2.2228,72.9721,0,653.5614,72.342,72.252,0
08Nov2014 1:04:00,AHU_5_1,0,2.1794,73.0801,0,666.9891,72.342,72.252,0
08Nov2014 1:09:00,AHU_5_1,0,2.3096,73.1701,0,657.8339,72.432,72.252,0
08Nov2014 1:14:00,AHU_5_1,0,2.2662,73.0801,0,645.6268,72.5221,72.342,0
08Nov2014 1:19:00,AHU_5_1,0,2.2228,73.1701,0,646.2372,72.6121,72.252,0
08Nov2014 1:24:00,AHU_5_1,0,2.2662,73.1701,0,670.6513,72.6121,72.252,0
08Nov2014 1:29:00,AHU_5_1,0,2.1794,73.2601,0,685.2996,72.6121,72.342,0
08Nov2014 1:34:00,AHU_5_1,0,2.2228,73.2601,0,648.6786,72.7021,72.252,0
08Nov2014 1:39:00,AHU_5_1,0,2.2228,73.2601,0,688.9617,72.7921,72.252,0
08Nov2014 1:44:00,AHU_5_1,0,2.2228,73.3501,0,640.744,72.7921,72.342,0
08Nov2014 1:49:00,AHU_5_1,0,2.2662,73.3501,0,643.7958,72.9721,72.342,0
