seq_id,datetime,AHU,CHW_VALVE,CHW_VALVE_POSIT,DIS_AIR_TEMP,DUCT_PRESS_ACTV,MAX_CO2_VAL,MIXED_AIR_TEMP,RTRN_AIR_TEMP,SUPPL_FAN_SP
22686,09JAN15:17:15:00,AHU_5_1,42.05,32.0506,61.2889,0.839,730.4656,69.5878,73.3501,19.48
22687,09JAN15:17:30:00,AHU_5_1,30.73,41.6459,58.7327,0.839,706.0515,69.6778,73.2601,19.275
22688,09JAN15:17:45:00,AHU_5_1,42.965,35.8279,60.7309,0.835,683.4685,69.9478,73.0801,19.275
22689,09JAN15:18:00:00,AHU_5_1,35.985,32.6584,60.1008,0.839,657.8339,69.9478,72.8821,19.275
22690,09JAN15:18:15:00,AHU_5_1,37.74,43.5128,59.0027,0.835,649.2889,70.3258,72.7921,19.275
22691,09JAN15:18:30:00,AHU_5_1,0,29.7061,60.8209,0,648.0682,70.6859,72.6121,19.275
22692,09JAN15:18:45:00,AHU_5_1,0,1.9623,62.099,0,686.5203,65.5734,71.964,0
22693,09JAN15:19:00:00,AHU_5_1,0,1.9623,63.1071,0,718.2585,65.2853,71.874,0
22694,09JAN15:19:15:00,AHU_5_1,0,1.9623,64.1152,0,689.572,65.1053,71.784,0
22695,09JAN15:19:30:00,AHU_5_1,0,1.9623,64.9253,0,683.4685,65.0153,71.604,0
22696,09JAN15:19:45:00,AHU_5_1,0,1.9623,65.7534,0,711.5447,64.9253,71.604,0
22697,09JAN15:20:00:00,AHU_5_1,0,2.0925,66.3834,0,687.1306,65.0153,71.604,0
22698,09JAN15:20:15:00,AHU_5_1,0,1.9623,67.0315,0,685.9099,65.1053,71.604,0
22699,09JAN15:20:30:00,AHU_5_1,0,1.9623,67.5716,0,676.7548,65.2853,71.604,0
22700,09JAN15:20:45:00,AHU_5_1,0,1.9623,68.0396,0,679.1962,65.4834,71.604,0
22701,09JAN15:21:00:00,AHU_5_1,0,1.9623,68.4896,0,665.7684,65.7534,71.604,0
22702,09JAN15:21:15:00,AHU_5_1,0,2.0057,68.9577,0,668.8202,65.9334,71.604,0
22703,09JAN15:21:30:00,AHU_5_1,0,1.9623,69.3177,0,676.1444,66.2034,71.604,0
22704,09JAN15:21:45:00,AHU_5_1,0,2.0057,69.6778,0,659.0546,66.4734,71.5139,0
22705,09JAN15:22:00:00,AHU_5_1,0,2.0057,69.9478,0,670.6513,66.6715,71.604,0
22706,09JAN15:22:15:00,AHU_5_1,0,1.9623,70.2358,0,657.8339,67.0315,71.604,0
22707,09JAN15:22:30:00,AHU_5_1,0,1.9188,70.5058,0,674.3134,67.2115,71.604,0
