datetime,AHU,CHW_VALVE,CHW_VALVE_POSIT,DIS_AIR_TEMP,DUCT_PRESS_ACTV,MAX_CO2_VAL,MIXED_AIR_TEMP,RTRN_AIR_TEMP,SUPPL_FAN_SP
12FEB15:15:26:00,AHU_5_1,45.475,45.3798,60.2808,0.843,1135.128,69.4077,73.1701,20.095
12FEB15:15:41:00,AHU_5_1,36.88,38.954,59.0927,0.843,1232.784,69.3177,73.1701,19.845
12FEB15:15:56:00,AHU_5_1,30.255,30.3573,60.3708,0.839,1076.534,69.2277,73.0801,19.845
12FEB15:16:11:00,AHU_5_1,42.145,41.6893,60.2808,0.839,1266.353,69.1377,73.0801,19.845
12FEB15:16:26:00,AHU_5_1,30.585,31.3125,59.4528,0.835,1085.079,69.2277,72.8821,19.845
12FEB15:16:41:00,AHU_5_1,42.82,41.9498,61.1989,0.839,1071.651,69.1377,72.7921,19.845
12FEB15:16:56:00,AHU_5_1,31.805,32.615,58.9127,0.843,1057.003,69.1377,72.7921,19.845
12FEB15:17:11:00,AHU_5_1,33.26,31.052,60.9109,0.823,1066.768,68.9577,72.7921,19.845
12FEB15:17:26:00,AHU_5_1,42.22,42.601,60.1008,0.835,1282.222,69.2277,72.7021,19.845
12FEB15:17:41:00,AHU_5_1,29.65,30.8783,59.0927,0.843,1024.654,69.3177,72.7921,19.845
12FEB15:17:56:00,AHU_5_1,41.795,40.3868,61.1989,0.839,920.8948,68.8497,72.8821,19.64
12FEB15:18:11:00,AHU_5_1,34.85,35.6977,59.0927,0.843,860.4702,68.6697,72.7921,19.64
12FEB15:18:26:00,AHU_5_1,28.48,29.1416,60.4609,0.843,867.1838,68.7597,72.7921,19.64
12FEB15:18:41:00,AHU_5_1,0,1.9623,61.649,0,918.4534,67.9496,71.2439,0
12FEB15:18:56:00,AHU_5_1,0,2.0057,62.5491,0,780.5143,65.7534,71.4239,0
12FEB15:19:11:00,AHU_5_1,0,1.9623,63.1971,0,760.3728,65.5734,71.3339,0
12FEB15:19:26:00,AHU_5_1,0,2.0057,64.1152,0,745.114,65.4834,71.2439,0
12FEB15:19:41:00,AHU_5_1,0,1.9188,64.9253,0,732.907,65.3933,71.2439,0
12FEB15:19:56:00,AHU_5_1,0,1.9623,65.6634,0,731.6863,65.4834,71.2439,0
12FEB15:20:11:00,AHU_5_1,0,1.9623,66.2934,0,725.5828,65.6634,71.2439,0
19FEB15:09:48:00,AHU_5_1,47.33,28.664,60.9109,0.7788,614.4991,73.6202,73.7102,17.645
19FEB15:10:03:00,AHU_5_1,42.765,36.8699,63.0171,0.7788,660.8856,73.7102,73.5302,17.645
19FEB15:10:18:00,AHU_5_1,25.73,47.9414,64.7453,0.7909,715.8171,73.8902,73.5302,17.645
19FEB15:10:33:00,AHU_5_1,29.79,42.384,62.369,0.7949,687.1306,74.6283,73.5302,17.645
19FEB15:10:48:00,AHU_5_1,29.79,27.4917,60.0108,0.7828,695.6755,73.8002,73.6202,17.645
19FEB15:11:03:00,AHU_5_1,46.315,33.6136,61.829,0.7989,722.531,73.8002,73.8002,17.645
19FEB15:11:18:00,AHU_5_1,34.505,47.6375,64.2952,0.7989,791.5006,73.8002,73.8002,17.645
19FEB15:11:33:00,AHU_5_1,25.22,31.7467,60.7309,0.7868,856.8081,73.8002,73.7102,17.645
19FEB15:11:48:00,AHU_5_1,45.33,26.5366,60.8209,0.7868,895.26,73.6202,73.8002,17.645
19FEB15:12:03:00,AHU_5_1,41.1,46.4218,64.3852,0.8069,872.0666,73.8002,73.7102,19.25
19FEB15:12:18:00,AHU_5_1,28.94,43.2089,62.369,0.7628,815.3043,73.6202,73.6202,19.25
19FEB15:12:33:00,AHU_5_1,36.21,29.185,60.3708,0.7828,812.2526,73.6202,73.5302,19.25
19FEB15:12:48:00,AHU_5_1,46.37,40.2131,63.3771,0.8029,795.7731,73.6202,73.5302,19.25
